Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
8012-1,Star Wars,Technic,2002,Super Battle Droid,,379,29.99,35,,,5.70201E+12,6.73419E+11,24,33.6,4.8,,,0,0,0,,0,0,,,,,,,,,119,46.52,23/04/2002,31/12/2003
4103-1,Creator,Bucket,2002,Creator Bucket,,200,9.99,5,,,,,22.7,21.3,22.7,,,0,0,0,,0,0,,,,,,,,,25,8.55,1/5/2002,31/12/2006
10023-1,Bionicle,Accessories,2002,Bionicle Master Builder Set,,102,,12.99,,,,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,60,96.71,1/5/2002,31/12/2003
10024-1,Advanced models,Aircraft,2002,Red Baron,,664,34.99,50,,,,6.73419E+11,38.4,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,518.51,220.17,13/05/2002,28/02/2005
1380-1,Studios,Horror,2002,Werewolf Ambush,3,117,7.99,10,,,5.70201E+12,,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,33.36,26.82,1/6/2002,31/12/2003
1381-1,Studios,Horror,2002,Vampire's Crypt,4,176,14.99,20,,,5.70201E+12,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,85,62.83,1/6/2002,31/12/2003
1382-1,Studios,Horror,2002,Scary Laboratory,6,493,39.99,50,,,5.70201E+12,,38.4,28.8,6,,,0,0,0,,0,0,,,,,,,,,219.95,75.73,1/6/2002,31/12/2003
1383-1,Studios,Horror,2002,Curse of the Pharaoh,2,50,2.99,4,,,,6.73419E+11,14.4,9.6,4.8,,,0,0,0,,0,0,,,,,,,,,35.64,19.8,1/6/2002,31/12/2003
8556-1,Bionicle,Warriors,2002,Boxor,,157,12.99,15,,,,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,186.2,62.8,1/6/2002,31/12/2003
8557-1,Bionicle,Warriors,2002,Exo-Toa,,378,24.99,35,,,,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,276.13,90.02,1/6/2002,31/12/2003
8558-1,Bionicle,Warriors,2002,Cahdok and Gahdok,,636,49.99,60,,,5.70201E+12,6.73419E+11,38.4,28.8,6,,,0,0,0,,0,0,,,,,,,,,598.5,227.59,1/6/2002,31/12/2003
6731-1,Island Xtreme Stunts,,2002,Skateboarding Pepper,1,11,1.99,4,,,5.70201E+12,,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,10.84,4.21,1/7/2002,1/9/2002
6732-1,Island Xtreme Stunts,,2002,Brickster's Trike,1,16,1.99,4,,,5.70201E+12,,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,20.23,2.96,1/7/2002,15/08/2002
6733-1,Island Xtreme Stunts,,2002,Snap's Cruiser,1,19,1.99,4,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,9.46,3.43,1/7/2002,15/08/2002
6734-1,Island Xtreme Stunts,,2002,Beach Cruisers,2,53,4.99,7,,,,6.73419E+11,14.4,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,14.8,5.99,1/7/2002,31/12/2003
6735-1,Island Xtreme Stunts,,2002,Air Chase,2,85,7.99,10,,,5.70201E+12,,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,16.3,7.95,1/7/2002,31/12/2003
6736-1,Island Xtreme Stunts,,2002,Beach Lookout,2,87,9.99,13,,,5.70201E+12,,19.2,19.2,6,,,0,0,0,,0,0,,,,,,,,,20,12.72,1/7/2002,31/12/2003
6737-1,Island Xtreme Stunts,,2002,Wake Rider,2,93,9.99,13,,,5.70201E+12,,19.2,19.2,6,,,0,0,0,,0,0,,,,,,,,,20,14.86,1/7/2002,31/12/2003
6738-1,Island Xtreme Stunts,,2002,Skateboard Challenge,3,108,14.99,20,,,,6.73419E+11,28.8,19.2,6,,,0,0,0,,0,0,,,,,,,,,42.63,26.16,1/7/2002,31/12/2003
6739-1,Island Xtreme Stunts,,2002,Truck & Stunt Trikes,3,199,24.99,30,,,,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,53.43,24.74,1/7/2002,31/12/2003
6740-1,Island Xtreme Stunts,,2002,Xtreme Tower,6,330,39.99,50,,,,6.73419E+11,48,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,109.06,82.51,1/7/2002,31/12/2003
10075-1,Studios,Spider-Man,2002,Spider-Man Action Pack,,25,,7,,,,6.73419E+11,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,551.77,39,1/8/2002,31/12/2003
10153-1,Trains,9V,2002,Train Motor 9 V,,3,22.49,24.99,,,,6.73419E+11,9.5,9.7,4.8,,,0,0,0,,0,0,,,,,,,,,121.32,87.3,1/8/2002,31/12/2007
10205-1,Trains,9V,2002,"Large Train Engine with Tender, Black ",,232,,,,,,,28.8,19.2,6,,,0,0,0,,0,0,,,,,,,,,232.29,131.23,1/8/2002,31/12/2003
4534-1,Trains,9V,2002,LEGO Express,,456,,160,,,,6.73419E+11,57.6,38.4,11.4,,,0,0,0,,0,0,,,,,,,,,642.99,300,1/9/2002,31/12/2002
4535-1,Trains,9V,2002,LEGO Express Deluxe,,762,,170,,,,6.73419E+11,57.6,38.4,11.4,,,0,0,0,,0,0,,,,,,,,,770,340,1/9/2002,31/12/2002
4586-1,Racers,Drome Racers,2002,Stunt Race Track,1,168,14.99,20,,,,,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,72.22,21.25,1/9/2002,31/12/2003
4587-1,Racers,Drome Racers,2002,Duel Racers,2,195,29.99,40,,,,6.73419E+11,38.4,28.8,6,,,0,0,0,,0,0,,,,,,,,,135,17.5,1/9/2002,31/12/2003
4588-1,Racers,Drome Racers,2002,Off-Road Race Track,2,359,39.99,50,,,,6.73419E+11,48,28.8,9.6,,,0,0,0,,0,0,,,,,,,,,105.08,35,1/9/2002,31/12/2003
4589-1,Racers,Drome Racers,2002,RC Nitro Flash,1,136,49.99,70,,,,,38.4,38.4,9.6,,,0,0,0,,0,0,,,,,,,,,160,58,1/9/2002,31/12/2003
4798-1,Alpha Team,Mission Deep Sea,2002,Evil Ogel Attack,1,20,1.99,3,,,5.70201E+12,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,8.65,5.27,1/9/2002,1/12/2002
4800-1,Alpha Team,Mission Deep Sea,2002,AT Jet Sub,1,21,1.99,3,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,9.86,4.64,1/9/2002,1/12/2002
5871-1,Belville,,2002,Riding Stables,3,148,,,,,,,48,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,140.35,55.38,1/9/2002,31/12/2002
6636-1,Town,Police,2002,Command Post Central,7,273,,65,,,5.70201E+12,,48,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,149.5,54.69,1/9/2002,31/12/2002
8429-1,Technic,,2002,Helicopter,,147,,,,,,,19.2,19.2,6,,,0,0,0,,0,0,,,,,,,,,45.75,5.62,1/9/2002,31/12/2002
8430-1,Technic,,2002,Mag Wheel Master,,318,,35,,,,,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,96.5,28.68,1/9/2002,31/12/2003
8431-1,Technic,,2002,Pneumatic Crane Truck,,862,,85,,,,,48,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,150,100.84,1/9/2002,31/12/2002
8461-1,Racers,Williams F1,2002,Williams F1 Team Racer,,1484,99.99,129.99,,,5.70201E+12,,65.2,43.2,9.6,,,0,0,0,,0,0,,,,,,,,,741.3,255.84,1/9/2002,31/12/2003
8472-1,Racers,Drome Racers,2002,Street 'n' Mud Racer,,347,49.99,69.99,,,5.70201E+12,,38.4,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,106.26,32.24,1/9/2002,31/12/2003
8473-1,Racers,Drome Racers,2002,Nitro Race Team,,500,39.99,50,,,5.70201E+12,6.73419E+11,48,28.8,6,,,0,0,0,,0,0,,,,,,,,,79.99,36.99,1/9/2002,31/12/2003
8475-1,Racers,Drome Racers,2002,RC Race Buggy,,283,79.99,130,,,5.70201E+12,6.73419E+11,57.6,48,7.2,,,0,0,0,,0,0,,,,,,,,,,219.34,1/9/2002,31/12/2003
8566-1,Bionicle,Toa Nuva,2002,Onua Nuva,,41,4.99,8,,,5.70201E+12,,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,66.27,11.33,1/9/2002,31/12/2003
8567-1,Bionicle,Toa Nuva,2002,Lewa Nuva,,37,4.99,8,,,,6.73419E+11,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,65,11.14,1/9/2002,31/12/2003
8568-1,Bionicle,Toa Nuva,2002,Pohatu Nuva,,40,4.99,8,,,,6.73419E+11,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,63.63,10.32,1/9/2002,31/12/2003
8570-1,Bionicle,Toa Nuva,2002,Gali Nuva,,44,4.99,8,,,5.70201E+12,6.73419E+11,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,85,11.92,1/9/2002,31/12/2003
8571-1,Bionicle,Toa Nuva,2002,Kopaka Nuva,,42,4.99,8,,,5.70201E+12,6.73419E+11,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,125,15.36,1/9/2002,31/12/2003
8572-1,Bionicle,Toa Nuva,2002,Tahu Nuva,,36,4.99,8,,,,6.73419E+11,8.8,18.4,8.8,,,0,0,0,,0,0,,,,,,,,,156.51,15.77,1/9/2002,31/12/2003
10020-1,Trains,9V,2002,Santa Fe Super Chief (not limited edition),2,435,26.99,40,,,,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,397.71,277.37,1/9/2002,31/07/2005
10020-2,Trains,9V,2002,Santa Fe Super Chief (limited edition version),2,435,26.99,40,,,,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,800.06,,1/9/2002,31/07/2005
10025-1,Trains,9V,2002,Santa Fe Cars - Set I,,326,24.99,35,,,,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,356.75,326.25,1/9/2002,31/07/2005
10022-1,Trains,9V,2002,Santa Fe Cars - Set II,,411,26.99,35,,,,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,459.33,338.91,9/9/2002,31/07/2005
4726-1,Harry Potter,Chamber of Secrets,2002,Quidditch Practice,3,128,11.99,13,,,5.70201E+12,6.73419E+11,19.2,19.2,6,,,0,0,0,,0,0,,,,,,,,,62.22,17.47,20/09/2002,31/12/2004
4727-1,Harry Potter,Chamber of Secrets,2002,Aragog in the Dark Forest,2,178,17.99,20,,,5.70201E+12,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,19.23,22.74,20/09/2002,31/12/2003
4728-1,Harry Potter,Chamber of Secrets,2002,Escape from Privet Drive,3,278,24.99,30,,,5.70201E+12,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,97,48.53,20/09/2002,31/12/2004
4729-1,Harry Potter,Chamber of Secrets,2002,Dumbledore's Office,3,446,44.99,50,,,5.70201E+12,6.73419E+11,28.8,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,87.68,61.52,20/09/2002,31/12/2004
4730-1,Harry Potter,Chamber of Secrets,2002,The Chamber of Secrets,5,591,59.99,70,,,5.70201E+12,6.73419E+11,48,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,280.56,126.52,20/09/2002,31/12/2003
4731-1,Harry Potter,Chamber of Secrets,2002,Dobby's Release,2,70,5.99,7,,,5.70201E+12,6.73419E+11,14.4,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,26.64,15.19,20/09/2002,31/12/2003
4733-1,Harry Potter,Chamber of Secrets,2002,The Dueling Club,4,129,17.99,20,,,5.70201E+12,6.73419E+11,28.8,19.2,6,,,0,0,0,,0,0,,,,,,,,,43.11,26.63,20/09/2002,31/12/2003
