Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
3420-1,Sports,Football,2002,Championship Challenge II,12,388,39.99,50,,,5.70201E+12,6.73419E+11,48,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,100,80,1/1/2002,31/12/2005
3420-3,Sports,Football,2002,Championship Challenge II (L'Equipe de France Edition),12,341,,,,,,,48,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,322.01,116.9,1/1/2002,31/12/2005
3423-1,Sports,Football,2002,Freekick Frenzy,2,54,7.99,10,,,,6.73419E+11,19.2,14.4,6,,,0,0,0,,0,0,,,,,,,,,22,5.64,1/1/2002,30/06/2004
4582-1,Racers,Drome Racers,2002,Red Bullet,1,29,2.99,4,,,5.70201E+12,,9.6,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,6.64,1.37,1/1/2002,31/12/2003
4583-1,Racers,Drome Racers,2002,Maverick Storm,1,38,2.99,4,,,5.70201E+12,,9.6,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,8.99,4.35,1/1/2002,31/12/2002
4584-1,Racers,Drome Racers,2002,Hot Scorcher,1,57,7.99,10,,,5.70201E+12,6.73419E+11,24,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,18.44,6.5,1/1/2002,31/12/2003
4585-1,Racers,Drome Racers,2002,Nitro Pulverizer,1,60,7.99,10,,,5.70201E+12,6.73419E+11,24,14.4,6,,,0,0,0,,0,0,,,,,,,,,27.1,4.38,1/1/2002,31/12/2003
4590-1,Racers,Drome Racers,2002,Flash Turbo,1,26,2.99,4,,,,6.73419E+11,14.4,9.6,3.9,,,0,0,0,,0,0,,,,,,,,,10.99,3,1/1/2002,31/12/2002
4591-1,Racers,Drome Racers,2002,Star Strike,1,28,2.99,4,,,5.70201E+12,6.73419E+11,14.4,9.6,3.9,,,0,0,0,,0,0,,,,,,,,,5.6,2.15,1/1/2002,31/12/2002
4592-1,Racers,Drome Racers,2002,Red Monster,1,25,2.99,4,,,,6.73419E+11,14.4,9.6,3.9,,,0,0,0,,0,0,,,,,,,,,7.98,2.87,1/1/2002,31/12/2002
4593-1,Racers,Drome Racers,2002,Zero Hurricane and Red Blizzard,2,70,4.99,6.99,,,,,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,16.57,7.53,1/1/2002,31/12/2003
4594-1,Racers,Drome Racers,2002,Maverick Sprinter & Hot Arrow,2,66,4.99,7,,,,6.73419E+11,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,15,6.74,1/1/2002,31/12/2002
4711-1,Harry Potter,Philosopher's Stone,2002,Flying Lesson,2,23,2.99,4,,,,6.73419E+11,9.6,9.6,4.8,,,0,0,0,,0,0,,,,,,,,,22.33,8.49,1/1/2002,31/12/2003
4712-1,Harry Potter,Philosopher's Stone,2002,Troll on the Loose,2,71,8.99,10,,,5.70201E+12,,14.4,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,86.55,25.34,1/1/2002,31/12/2003
4714-1,Harry Potter,Philosopher's Stone,2002,Gringotts Bank,4,250,24.99,30,,,5.70201E+12,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,100,41.61,1/1/2002,31/12/2003
4790-1,Alpha Team,Mission Deep Sea,2002,Alpha Team Robot Diver,1,32,2.99,4,,,,6.73419E+11,9.6,9.6,4.8,,,0,0,0,,0,0,,,,,,,,,16.67,4.99,1/1/2002,31/12/2003
4791-1,Alpha Team,Mission Deep Sea,2002,AT Sub-Surface Scooter,1,42,4.99,7,,,,6.73419E+11,14.4,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,23.84,11.1,1/1/2002,31/12/2003
4792-1,Alpha Team,Mission Deep Sea,2002,Alpha Team Navigator and ROV,1,111,7.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,36.97,40,1/1/2002,31/12/2003
4793-1,Alpha Team,Mission Deep Sea,2002,Ogel Shark Sub,3,115,14.99,20,,,,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,83.19,26.89,1/1/2002,31/12/2003
4794-1,Alpha Team,Mission Deep Sea,2002,Alpha Team Command Sub,2,189,24.99,30,,,5.70201E+12,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,56.5,27.75,1/1/2002,31/12/2003
4795-1,Alpha Team,Mission Deep Sea,2002,Ogel Underwater Base and AT Sub,4,468,39.99,50,,,5.70201E+12,6.73419E+11,48,28.8,9.6,,,0,0,0,,0,0,,,,,,,,,158.97,48.3,1/1/2002,31/12/2003
4796-1,Alpha Team,Mission Deep Sea,2002,Ogel Mutant Squid,1,61,7.99,10,,,5.70201E+12,,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,21.95,13.04,1/1/2002,31/12/2003
6762-1,Western,Cowboys,2002,Fort Legoredo,10,673,,100,,,5.70201E+12,,48,38.4,9.6,,,0,0,0,,0,0,,,,,,,,,674.21,245.23,1/1/2002,31/12/2002
6763-1,Western,Indians,2002,Rapid River Village,7,343,,70,,,5.70201E+12,,48,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,508.99,217.47,1/1/2002,31/12/2003
6764-1,Western,Cowboys,2002,Sheriff's Lock-Up,4,171,,30,,,,,33.6,24,4.8,,,0,0,0,,0,0,,,,,,,,,322.42,79.72,1/1/2002,31/12/2003
7119-1,Star Wars,Episode V,2002,Twin-Pod Cloud Car,1,118,8.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,6,,,0,0,0,,0,0,,,,,,,,,52.88,16.23,1/1/2002,31/12/2003
7139-1,Star Wars,Episode VI,2002,Ewok Attack,4,121,10.99,13,,,5.70201E+12,6.73419E+11,19.2,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,71.33,38.29,1/1/2002,31/12/2003
7194-1,Star Wars,Ultimate Collector Series,2002,Yoda,,1075,79.99,99.99,,,5.70201E+12,,57.6,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,500,141.45,1/1/2002,31/12/2003
7200-1,Star Wars,Episode VI,2002,Final Duel I,2,29,5.99,7,,,5.70201E+12,6.73419E+11,14.4,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,85.03,35.79,1/1/2002,31/12/2003
7201-1,Star Wars,Episode VI,2002,Final Duel II,3,23,5.99,7,,,5.70201E+12,6.73419E+11,14.4,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,43.99,21.22,1/1/2002,31/12/2002
7203-1,Star Wars,Episode I,2002,Jedi Defense I,3,59,5.99,7,,,5.70201E+12,6.73419E+11,14.4,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,52.12,27.81,1/1/2002,31/12/2003
7204-1,Star Wars,Episode I,2002,Jedi Defense II,3,53,5.99,7,,,5.70201E+12,6.73419E+11,14.4,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,60,28.65,1/1/2002,31/12/2002
8009-1,Star Wars,Technic,2002,R2-D2,,240,17.99,20,,,,6.73419E+11,19.2,28.8,4.8,,,0,0,0,,0,0,,,,,,,,,91.06,23.61,1/1/2002,31/12/2003
8010-1,Star Wars,Technic,2002,Darth Vader,,391,34.99,40,,,,6.73419E+11,28.8,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,83.75,47.5,1/1/2002,31/12/2003
8468-1,Racers,Drome Racers,2002,Power Crusher,,92,4.99,8,,,,1.10112E+11,19.2,14.4,6,,,0,0,0,,0,0,,,,,,,,,13.99,7.52,1/1/2002,31/12/2003
8469-1,Racers,Drome Racers,2002,Slammer Raptor,,144,7.99,10,,,,6.73419E+11,24,14.4,6,,,0,0,0,,0,0,,,,,,,,,35.48,16.21,1/1/2002,31/12/2003
8470-1,Racers,Drome Racers,2002,Slammer G-Force,,148,9.99,15,,,5.70201E+12,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,40,8.83,1/1/2002,31/12/2002
8471-1,Racers,Drome Racers,2002,Nitro Burner,,119,14.99,20,,,5.70201E+12,6.73419E+11,32.4,19.2,6,,,0,0,0,,0,0,,,,,,,,,55.4,7.61,1/1/2002,31/12/2003
8550-1,Bionicle,Bohrok Va,2002,Gahlok Va,,26,1.99,2.99,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,16.19,9.26,1/1/2002,31/12/2002
8551-1,Bionicle,Bohrok Va,2002,Kohrak Va,,28,1.99,3,,,,67341901104,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,26.78,9.88,1/1/2002,31/12/2002
8552-1,Bionicle,Bohrok Va,2002,Lehvak Va,,28,1.99,3,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,12,9.65,1/1/2002,31/12/2002
8553-1,Bionicle,Bohrok Va,2002,Pahrak Va,,27,1.99,3,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,14.42,8.55,1/1/2002,31/12/2002
8554-1,Bionicle,Bohrok Va,2002,Tahnok Va,,27,1.99,3,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,11.77,11.06,1/1/2002,31/12/2002
8555-1,Bionicle,Bohrok Va,2002,Nuhvok Va,,26,1.99,3,,,,6.73419E+11,9.6,14.4,3.9,,,0,0,0,,0,0,,,,,,,,,16.28,9.31,1/1/2002,31/12/2002
3739-1,Castle,My Own Creation,2002,Blacksmith Shop,2,619,29.99,40,,,,6.73419E+11,28.8,28.8,7.2,,,0,0,0,,0,0,,,,,,,,,361.25,211.25,22/01/2002,31/12/2003
3426-1,Sports,Football,2002,Adidas Team Transport,6,133,,20,,,,6.73419E+11,28.8,28.8,15.5,,,0,0,0,,0,0,,,,,,,,,48,50.49,1/2/2002,31/12/2002
10036-1,Town,Shops and Services,2002,Pizza-To-Go,3,151,,20,,,,,19.2,14.4,6,,,0,0,0,,0,0,,,,,,,,,600,65,1/2/2002,31/12/2003
4788-1,Alpha Team,Mission Deep Sea,2002,Ogel Mutant Ray,2,68,7.99,10,,,,,19.2,14.4,6,,,0,0,0,,0,0,,,,,,,,,34.99,28,15/02/2002,31/12/2002
3421-1,Sports,Football,2002,3 vs. 3 Shootout,6,225,24.99,30,,,,,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,57.6,40,1/3/2002,31/12/2003
3422-1,Sports,Football,2002,Shoot 'n' Save,2,110,14.99,20,,,,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,19.25,9.99,1/3/2002,31/12/2003
3424-1,Sports,Football,2002,Target Practice,1,37,4.99,7,,,,6.73419E+11,14.4,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,15.14,10.62,1/3/2002,31/12/2003
3425-1,Sports,Football,2002,US National Team Cup Edition Set,22,548,69.99,90,,,,6.73419E+11,48,38.4,9.6,,,0,0,0,,0,0,,,,,,,,,144,99.97,1/3/2002,31/12/2002
3425-2,Sports,Football,2002,Grand Championship Cup ,22,570,,,,,,,48,38.4,9.6,,,0,0,0,,0,0,,,,,,,,,,146.09,1/3/2002,31/12/2002
4595-1,Racers,Drome Racers,2002,Zero Tornado & Hot Rock,2,71,7.99,10,,,5.70201E+12,,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,16,11.77,1/3/2002,31/12/2002
4596-1,Racers,Drome Racers,2002,Storming Cobra,1,89,14.99,9.99,,,,,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,32.12,13.52,1/3/2002,31/12/2002
5850-1,Belville,,2002,The Royal Crystal Palace,3,149,49.99,50,,,5.70201E+12,,57.6,48,9.6,,,0,0,0,,0,0,,,,,,,,,132.53,128.54,1/3/2002,31/12/2003
8560-1,Bionicle,Bohrok,2002,Pahrak,,41,4.99,8,,,,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,52.38,13.03,1/3/2002,31/12/2002
8561-1,Bionicle,Bohrok,2002,Nuhvok,,41,4.99,8,,,5.70201E+12,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,58.66,12.48,1/3/2002,31/12/2002
8562-1,Bionicle,Bohrok,2002,Gahlok,,41,4.99,8,,,5.70201E+12,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,60.66,12.54,1/3/2002,31/12/2002
8563-1,Bionicle,Bohrok,2002,Tahnok,,41,4.99,8,,,,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,113.88,13.78,1/3/2002,31/12/2002
8564-1,Bionicle,Bohrok,2002,Lehvak,,41,4.99,8,,,5.70201E+12,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,86.98,13.75,1/3/2002,31/12/2002
8565-1,Bionicle,Bohrok,2002,Kohrak,,41,4.99,8,,,,6.73419E+11,10.9,15.7,8.8,,,0,0,0,,0,0,,,,,,,,,80,13.59,1/3/2002,31/12/2002
10037-1,Town,Shops and Services,2002,Breezeway Café,5,183,,23,,,,6.73419E+11,28.8,19.2,7.2,,,0,0,0,,0,0,,,,,,,,,200,90,1/3/2002,31/12/2003
7143-1,Star Wars,Episode II,2002,Jedi Starfighter,1,138,17.99,20,,,5.70201E+12,6.73419E+11,28.8,19.2,4.8,,,0,0,0,,0,0,,,,,,,,,126.23,38.8,18/03/2002,31/12/2003
1376-1,Studios,Spider-Man,2002,Spider-Man Action Studio,5,248,24.99,30,,,,6.73419E+11,28.8,28.8,6,,,0,0,0,,0,0,,,,,,,,,130.78,49.47,1/4/2002,30/06/2003
1374-1,Studios,Spider-Man,2002,Green Goblin,2,58,4.99,7,,,,6.73419E+11,14.4,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,145,54.01,23/04/2002,31/12/2003
7103-1,Star Wars,Episode II,2002,Jedi Duel,2,82,8.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,113.16,41.61,23/04/2002,31/12/2003
7113-1,Star Wars,Episode II,2002,Tusken Raider Encounter,3,93,8.99,10,,,5.70201E+12,6.73419E+11,19.2,14.4,4.8,,,0,0,0,,0,0,,,,,,,,,86.32,31.69,23/04/2002,31/12/2003
7133-1,Star Wars,Episode II,2002,Bounty Hunter Pursuit,3,259,27.99,30,,,5.70201E+12,6.73419E+11,28.8,28.8,4.8,,,0,0,0,,0,0,,,,,,,,,353.47,168.33,23/04/2002,31/12/2003
7153-1,Star Wars,Episode II,2002,Jango Fett's Slave I,2,369,44.99,50,,,5.70201E+12,6.73419E+11,28.8,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,1080,427.13,23/04/2002,31/12/2003
7163-1,Star Wars,Episode II,2002,Republic Gunship,8,686,79.99,90,,,5.70201E+12,6.73419E+11,57.6,38.4,7.2,,,0,0,0,,0,0,,,,,,,,,1000,390.77,23/04/2002,31/12/2003
8011-1,Star Wars,Technic,2002,Jango Fett,,422,29.99,30,,,5.70201E+12,,24,28.8,6,,,0,0,0,,0,0,,,,,,,,,53.48,29.9,23/04/2002,31/12/2003
