Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10985-1","Duplo","",2023,"Wind Turbine and Electric Car",1,16,8.99,9.99,13.99,9.99,5702017416991,673419375627,20.5,19.1,7.3,,"",0,0,0,,0,0,,,,,,,,,,,"01/05/2023","31/12/2024"
"10986-1","Duplo","",2023,"Family House on Wheels",2,31,17.99,19.99,24.99,19.99,5702017417011,673419375634,28.2,26.2,11.8,,"",0,0,0,,0,0,,,,,,,,,9.9000,,"01/01/2023","31/12/2024"
"10987-1","Duplo","",2023,"Recycling Truck",1,15,17.99,19.99,24.99,19.99,5702017416236,673419375641,28.2,26.2,9.6,0.502,"",0,0,0,,0,0,,,,,,,,,13.6100,,"01/06/2023","31/12/2024"
"10988-1","Duplo","",2023,"The Bus Ride",3,16,17.99,19.99,24.99,19.99,5702017416243,673419376051,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,16.9400,,"01/08/2023","31/12/2024"
"10989-1","Duplo","",2023,"Water Park",2,19,37.99,39.99,49.99,42.99,5702017416250,673419376068,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,,,"01/08/2023","31/12/2025"
"10990-1","Duplo","",2023,"Construction Site",3,61,59.99,64.99,84.99,64.99,5702017416267,673419376075,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,57.3300,,"01/01/2023","31/12/2024"
"10991-1","Duplo","",2023,"Dream Playground",4,75,46.99,49.99,64.99,52.99,5702017417073,673419376082,54,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/08/2023","31/12/2024"
"10992-1","Duplo","",2023,"Life at the Day-Care Centre",4,67,42.99,44.99,54.99,47.99,5702017417707,673419376099,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/08/2023","31/12/2025"
"10993-1","Duplo","",2023,"3in1 Tree House",5,126,79.99,89.99,119.99,89.99,5702017417714,673419376105,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,76.7300,,"01/05/2023","31/12/2024"
"10994-1","Duplo","",2023,"3in1 Family House",5,218,124.99,129.99,169.99,139.99,5702017417776,673419376112,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2023","31/12/2025"
"10995-1","Duplo","Spidey and His Amazing Friends",2023,"Spider-Man's House",2,25,19.99,19.99,24.99,24.99,5702017417783,673419376129,22.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,20.2300,,"01/01/2023","31/12/2024"
"10996-1","Duplo","Cars",2023,"Lightning McQueen & Mater's Car Wash Fun",2,23,29.99,29.99,39.99,34.99,5702017417790,673419376143,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,27.1900,,"01/01/2023","31/12/2024"
"10997-1","Duplo","Mickey and Friends",2023,"Camping Adventure",4,37,46.99,49.99,64.99,52.99,5702017417806,673419374026,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,46.1200,,"01/06/2023","31/12/2024"
"10998-1","Duplo","Disney 100",2023,"3in1 Magical Castle",4,160,89.99,99.99,129.99,99.99,5702017417431,673419374033,48,58.2,12.4,2.921,"",0,0,0,,0,0,,,,,,,,,20.0000,,"01/04/2023","31/12/2024"
"11027-1","Classic","Creative Fun",2023,"Creative Neon Fun",,333,17.99,19.99,24.99,19.99,5702017415116,673419374729,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,16.5900,,"01/03/2023","31/12/2024"
"11028-1","Classic","Creative Fun",2023,"Creative Pastel Fun",,333,17.99,19.99,24.99,19.99,5702017415123,673419374736,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,16.5700,,"01/03/2023","31/12/2025"
"11029-1","Classic","Creative Box",2023,"Creative Party Box",,900,44.99,49.99,64.99,49.99,5702017415130,673419374743,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,41.6200,,"01/03/2023","31/12/2024"
"11030-1","Classic","Bricks",2023,"Lots of Bricks",,1000,54.99,59.99,79.99,59.99,5702017415147,673419374750,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,55.3400,,"01/03/2023","31/12/2025"
"11031-1","Classic","Creative Fun",2023,"Creative Monkey Fun",,135,8.99,9.99,13.99,9.99,5702017434049,673419379298,15.7,14.1,4.5,0.13,"",0,0,0,,0,0,,,,,,,,,11.6200,,"01/01/2023","31/12/2023"
"11032-1","Classic","Creative Fun",2023,"Creative Colour Fun",,1500,62.99,64.99,84.99,69.99,5702017434056,673419379304,26,38,14,,"",0,0,0,,0,0,,,,,,,,,,,"01/08/2023","31/12/2025"
